type,,f,f,f,r,r,r,r,f
source,,f1 (t-1),f2 (t-1),f3 (t-1),r1 (t-1),r2 (t-1),r3 (t-1),r4 (t-1),p
dataset,value,,,,,,,,
trn,1994-09-06,0.24817125083983232,0.19356625056344112,0.3285107549911418,0.1,0.1,0.18030169811655933,0.18807710121010887,0.3252605660593797
trn,1996-11-27,0.6432185936135337,0.7192207810727037,0.6571919616815063,0.1,0.4446199161365143,0.36633060268101614,0.1,0.6201766360103799
trn,1993-04-14,0.6027117374663092,0.5719129491743093,0.5383953892684191,0.1,0.1,0.1,0.4236159339823562,0.5768179203144694
trn,1995-03-22,0.4862927738646423,0.4429821260481469,0.5073616346938125,0.1,0.1,0.1,0.1,0.5310757927438985
trn,1995-05-28,0.32579074833984917,0.2763381432709595,0.2809468999267204,0.4835706411883074,0.3297466107576762,0.5361498598554048,0.46315119148749595,0.368327066586577
trn,1993-03-05,0.4016198781991337,0.3438637573040736,0.3358081216588406,0.22129568697262458,0.1,0.1,0.16227991553292184,0.4285516064196503
trn,1996-01-30,0.3540222499610518,0.3071120302840909,0.3281695768634044,0.1,0.1,0.1,0.1,0.3853326681318301
trn,1994-04-01,0.5115045239230375,0.5084489222043777,0.6002036165464678,0.5201805851511122,0.5298165516138683,0.6790637801321692,0.6357520910181341,0.7507964284458154
trn,1996-07-16,0.17860228694197583,0.18282769677043553,0.20353184703491578,0.1,0.1,0.1,0.1,0.2131015157141159
trn,1996-01-14,0.6722467338300294,0.5762254366221699,0.7268943650796166,0.49304294755241407,0.41459350305584575,0.4933963717291665,0.5224029384654449,0.6932112743033315
trn,1996-09-13,0.1686558473819717,0.18969883895676165,0.17254237245416257,0.1,0.1,0.1,0.1,0.20002425579306798
trn,1996-09-21,0.14627700279602715,0.1825820362941281,0.15165786981960355,0.27153800557404717,0.26245538642137906,0.3341176693960234,0.28683974659876554,0.1858277510927153
trn,1993-12-03,0.6622928687384845,0.5581681573611025,0.7058150583721234,0.24855627054164153,0.1,0.6534412608571425,0.5618802153517006,0.6900008461570551
trn,1994-08-29,0.2829785224332097,0.177222080707853,0.4216416748097219,0.27153800557404717,0.1,0.2966981858645833,0.2761542024202177,0.36425683049741986
trn,1994-12-01,0.3965673222238201,0.39460227176325957,0.3963636897686945,0.1,0.1,0.1,0.1,0.4530739455919769
trn,1995-04-05,0.44950070456345625,0.3959275826548869,0.44732250567718024,0.24855627054164153,0.34368307963206857,0.23908662107193873,0.33303010600141414,0.4855485456865516
trn,1995-08-16,0.1306483243941765,0.10980040213192535,0.11429394768835827,0.1,0.1,0.1,0.1,0.11760590761405695
trn,1995-08-29,0.11435553093199259,0.1106994164885911,0.10999178303101577,0.1,0.1,0.1,0.1,0.13254695668553113
trn,1994-05-14,0.3280490500351474,0.2831941408587646,0.32054312237680205,0.1,0.1,0.1,0.1,0.3559448941017844
trn,1996-02-17,0.7569624412751753,0.6026454962651216,0.7071711665223683,0.1,0.18122769321068954,0.1,0.41756650460727884,0.7340496179372522
trn,1996-06-18,0.22148754668310502,0.2238519401172201,0.21797779825692548,0.1,0.1,0.1,0.1,0.2429366758307087
trn,1995-06-17,0.23532057727778494,0.20925804418005792,0.21756799297366558,0.27153800557404717,0.35686451962717425,0.23908662107193873,0.22455983106584368,0.2598402054983284
trn,1994-05-30,0.3026595051129283,0.2793173061699923,0.2911895688653936,0.1,0.1,0.1,0.1,0.3352124965967153
trn,1996-12-15,0.38492892481857965,0.3742462152991659,0.3751133452278591,0.1,0.1,0.2966981858645833,0.2392621247645583,0.41954397230955787
trn,1996-07-07,0.31297547851526286,0.24276411835965053,0.3477104833484649,0.1,0.1,0.1567818752790141,0.1,0.3226136858469972
trn,1994-07-06,0.201562738304079,0.21275085545529632,0.21883983722268424,0.1,0.1,0.2606033962331186,0.18807710121010887,0.26442147354079015
trn,1994-02-18,0.4376466999413363,0.4213624181403649,0.4203426988281286,0.1,0.1,0.18030169811655933,0.22455983106584368,0.4962555506390762
trn,1996-06-05,0.2997674600382607,0.2615124147977747,0.3155057750322664,0.1,0.2816306436745999,0.22696813301379035,0.1,0.3207798907247075
trn,1995-04-14,0.3618441464431841,0.3190519574757257,0.34764494523821443,0.1,0.1,0.1,0.1,0.3990409340028044
trn,1993-11-28,0.44301118640442805,0.3659958459388225,0.36892655997388457,0.1,0.1,0.1,0.1,0.4750636169124004
trn,1993-05-21,0.5554870559222131,0.5190856524440535,0.5765513709549911,0.7753458032911648,0.6326456046999596,0.5434806229952919,0.5534046289747797,0.6772913386988576
trn,1995-09-14,0.2839355546445365,0.22226245389370536,0.26720555160717524,0.1,0.1,0.27034562583704225,0.1,0.2953861075233385
trn,1995-10-08,0.5360179318474847,0.2628870327761187,0.5462236043977786,0.2917853205941537,0.1,0.37231630741590704,0.3567866700967828,0.46771688174642934
trn,1996-06-12,0.26125503556823837,0.2982909812418749,0.24913125403111983,0.2917853205941537,0.42491077284275813,0.521105657538679,0.2969463855669324,0.3030603350779396
trn,1995-07-29,0.17163842178848837,0.12718406034739996,0.16386549431447278,0.1,0.1,0.1,0.1,0.16430710862433795
trn,1995-11-22,0.34786987537970726,0.1987163416217526,0.3262565851306991,0.47385841563689424,0.38138098324506364,0.1,0.41756650460727884,0.40884921642195327
trn,1993-09-07,0.21831533234975467,0.25330360700063415,0.22014753383604307,0.1,0.1,0.1,0.1,0.2787971620808259
trn,1994-08-19,0.2777871080331572,0.21741268155724666,0.2990690309699029,0.1,0.1,0.18030169811655933,0.20787197799411877,0.3206380499054132
trn,1995-09-11,0.2781159694709241,0.22266107287033565,0.21752240038815115,0.6074162634049249,0.3871832634470953,0.5324378786504342,0.45230840484043544,0.3527703385445641
trn,1994-04-25,0.6086303028546907,0.43874816606216427,0.5881986639653927,0.1,0.1,0.18030169811655933,0.20787197799411877,0.5612643192264688
trn,1993-07-24,0.2800766908571308,0.3003530538043312,0.4910235426092704,0.5373378188724273,0.1,0.4261870397282055,0.22455983106584368,0.5255031527879839
trn,1994-08-08,0.20553085709084304,0.19758387143539308,0.22856972369809525,0.1,0.1,0.1,0.1,0.258801605631154
trn,1993-08-07,0.694971764909662,0.5971143237882518,0.6026597672517192,0.35730700836107077,0.2989664013495228,0.19834909293229164,0.18807710121010887,0.5627420429852836
trn,1996-05-10,0.3415010417288862,0.34046544409867696,0.3379445047239509,0.1857690027870236,0.1,0.1,0.16227991553292184,0.36887008155372913
trn,1994-12-12,0.7449048454738851,0.7404578138730988,0.7656772953471608,0.49304294755241407,0.1,0.23908662107193873,0.4889379478435182,0.8125763702810854
trn,1996-04-12,0.3546692006377692,0.28384469106186716,0.3316717166714438,0.24855627054164153,0.1,0.1,0.1,0.3728380969906261
trn,1996-10-10,0.2504824078238254,0.2255263358624212,0.30918379996804324,0.1,0.1,0.2606033962331186,0.1,0.29620100082266476
trn,1996-08-03,0.1710458249526283,0.17948419680067595,0.21522765576614877,0.1,0.1,0.1,0.1,0.21133545394267342
trn,1993-10-12,0.5320213419131379,0.5400611114433274,0.5050167404932627,0.22129568697262458,0.2406904916225318,0.22696813301379035,0.1,0.6243218355881538
trn,1993-07-01,0.2669351303950326,0.25194302028480375,0.25144240665299666,0.1857690027870236,0.1,0.1,0.20787197799411877,0.2983025572558326
trn,1996-04-22,0.33963945029532616,0.28946153372767436,0.3744949282881661,0.1,0.1,0.1567818752790141,0.16227991553292184,0.3825410521399032
trn,1995-12-24,0.7036324607813165,0.5473280691978517,0.6083599654113021,0.38446360088750386,0.5666175722825777,0.18030169811655933,0.18807710121010887,0.6099829581169702
trn,1996-04-25,0.5012631309166751,0.3688320917327872,0.5829972126423829,0.1,0.1,0.6678187527901409,0.3245534288855159,0.5628156105444159
trn,1995-01-25,0.7103952840799309,0.690040691075936,0.704646005780187,0.22129568697262458,0.1,0.3199152573220482,0.2525540142792948,0.7119306487330721
trn,1995-07-30,0.1542652768037326,0.12503368043021235,0.15487091286684596,0.1,0.1,0.1,0.1,0.16136563103217205
trn,1996-01-27,0.3540222499610518,0.30672855213956085,0.33442434351602224,0.1,0.35686451962717425,0.1,0.1,0.38513470154810103
trn,1993-05-23,0.5691568051784665,0.5224892746380206,0.5569144641236548,0.1,0.1,0.1,0.1,0.5726890357422529
trn,1993-03-03,0.41132067215162704,0.33231020474313944,0.33505894172942674,0.22129568697262458,0.1,0.1567818752790141,0.3157439559882375,0.45061601697002207
trn,1993-03-15,0.3671451923595309,0.2844210952386752,0.3477759971838421,0.1,0.1,0.5982589334226898,0.1,0.3846388270087143
trn,1993-08-13,0.5691568051784665,0.4302205195179942,0.570228347479721,0.38446360088750386,0.4809916523695208,0.34090509434967786,0.49878603665412236,0.5477069098507806
trn,1994-06-28,0.25426995541833497,0.2292166278568271,0.3237233494229933,0.1,0.1,0.2606033962331186,0.30655911179772893,0.360547012048537
trn,1996-08-05,0.1489791152228137,0.17013845421040052,0.18978496493796854,0.1,0.1,0.1,0.1,0.18573746279146314
trn,1993-01-26,0.7383024413234701,0.7752085201039632,0.70869013791543,0.24855627054164153,0.1,0.1,0.20787197799411877,0.7188419583373294
trn,1994-11-02,0.5497164264470356,0.6051655572817213,0.6239773402956401,0.1857690027870236,0.1,0.2502307209641576,0.16227991553292184,0.5750060382418845
trn,1996-12-16,0.4016198781991337,0.37226227223080066,0.3897725182989662,0.35730700836107077,0.18122769321068954,0.39504727879687485,0.2969463855669324,0.45769285423341444
trn,1995-05-27,0.36308131416241896,0.27346403726615093,0.29378613111232244,0.1857690027870236,0.1,0.3341176693960234,0.18807710121010887,0.34941776043511097
trn,1993-05-30,0.41132067215162704,0.35305805931181855,0.4161206839256645,0.3269234515724702,0.21487330537883811,0.4406912516740845,0.33303010600141414,0.4634801374782501
trn,1996-09-04,0.24661392363056323,0.22979281369838545,0.22732305026604535,0.1,0.1,0.1567818752790141,0.16227991553292184,0.26013868735561513
trn,1996-04-10,0.3565962957653196,0.28042256707449587,0.3225941068055369,0.1,0.1,0.1,0.1,0.3827419006565803
trn,1993-03-08,0.46652353369544464,0.3263456158642316,0.43358201439931865,0.1,0.1,0.1,0.1,0.4633521162689248
trn,1993-07-04,0.2565050229638165,0.2470152394236183,0.24682814291669836,0.1857690027870236,0.1,0.6356791400250101,0.3245534288855159,0.2948953884575849
trn,1994-01-05,0.8201290017653238,0.8076334138840032,0.7165762938145219,0.1,0.1,0.1567818752790141,0.18807710121010887,0.8033909487661809
trn,1994-07-09,0.2079674776104163,0.22979281369838545,0.21299633344008126,0.1,0.1,0.1,0.1,0.25944145543046426
